locode,kikoto,orszag,lat,lon,tengeri_kikoto,hajo_db
DKFAK,Fakse Ladeplads Havn,DK,,,1,1
GBHUL,Hull,GB,53.733333333333334,-0.31666666666666665,1,1
NOKMO,Kambo,NO,59.46666666666667,10.683333333333334,1,1
DESAS,Sassnitz,DE,,,1,1
NOKRS,Kristiansand,NO,58.13333333333333,7.983333333333333,1,1
EETLL,Tallinn,EE,59.43333333333333,24.733333333333334,1,1
DKRKE,Roskilde,DK,,,1,1
GYGEO,Georgetown,GY,,,1,1
FRBES,Brest,FR,48.4,-4.483333333333333,1,1
SENYN,Nynäshamn,SE,58.9,17.95,1,1
USPIE,Saint Petersburg,US,27.766666666666666,-82.68333333333334,1,1
DKSOB,Søby Havn,DK,,,1,1
DEBRE,Bremen,DE,,,1,1
NOBER,Berg,NO,,,1,1
DKAVE,Avedøreværkets Havn,DK,,,1,1
FIVSS,Vuosaari (Nordsjö),FI,60.21666666666667,25.183333333333334,1,1
DEMUK,Mukran,DE,,,1,1
DKFDS,Frederikssund,DK,55.833333333333336,12.066666666666666,1,1
USORF,Norfolk,US,,,1,1
DEWAR,Warnemünde,DE,54.166666666666664,12.083333333333334,1,1
FIKJO,Kalajoki,FI,64.25,23.95,1,1
DKVEJ,Vejle,DK,,,1,1
ESSVQ,Sevilla,ES,,,1,1
LVRIX,Riga,LV,,,1,1
SEKLR,Kalmar,SE,56.666666666666664,16.366666666666667,1,1
EEVIR,Virtsu,EE,58.583333333333336,23.516666666666666,1,1
SJLYR,Longyearbyen,SJ,78.21666666666667,15.633333333333333,1,1
DKHOR,Horsens,DK,,,1,1
NOSVG,Stavanger,NO,58.96666666666667,5.75,1,1
DKKOK,Kolby Kås,DK,55.8,10.55,1,1
DKMRS,Marstal,DK,,,1,1
NOHRR,Herre,NO,59.1,9.566666666666666,1,1
ESALG,Algeciras,ES,,,1,1
DEBSK,Burgstaaken/Fehmarn,DE,,,1,1
ESPAS,Pasajes,ES,,,1,1
FIPOR,Pori (Björneborg),FI,61.483333333333334,21.8,1,1
DKSKV,Skive,DK,,,1,1
DKEDL,Endelave,DK,,,1,1
DEWOL,Wolgast,DE,,,1,1
FIKOK,Kokkola (Karleby),FI,63.833333333333336,23.116666666666667,1,1
CAVLF,Valleyfield,CA,45.25,-74.13333333333334,1,1
PLHEL,Hel,PL,54.6,18.8,1,1
SEHLD,Holmsund,SE,,,1,1
SEDOM,Domsjö,SE,,,1,1
GBSOU,Southampton,GB,,,1,1
SEHAD,Halmstad,SE,56.666666666666664,12.85,1,1
FISKV,Sköldvik (Kilpilahti),FI,60.3,25.55,1,1
DKFDH,Frederikshavn,DK,,,1,1
NOBGO,Bergen,NO,60.38333333333333,5.316666666666666,1,1
SESOE,Södertälje,SE,59.2,17.616666666666667,1,1
NOKAR,Kårstø,NO,59.266666666666666,5.516666666666667,1,1
VNSGN,Ho Chi Minh City,VN,10.766666666666667,106.66666666666667,1,1
SEVBY,Visby,SE,57.63333333333333,18.3,1,1
NLTNZ,Terneuzen,NL,51.46666666666667,3.8166666666666664,1,1
DKFYH,Fynshav,DK,54.96666666666667,9.966666666666667,1,1
FIINK,Inkoo (Ingå),FI,,,1,1
TRALA,Alanya,TR,36.53333333333333,31.983333333333334,1,1
FIRAU,Raumo (Rauma),FI,61.13333333333333,21.5,1,1
DKAAB,Åbenrå,DK,55.03333333333333,9.433333333333334,1,1
FIKTK,Kotka,FI,60.46666666666667,26.916666666666668,1,1
SEROR,Rönnskär,SE,,,1,1
RUKAN,Kandalaksha,RU,,,1,1
DKMID,Middelfart,DK,,,1,1
DKKOL,Kolding,DK,,,1,1
SEKGM,Klagshamn,SE,55.53333333333333,12.916666666666666,1,1
MACAS,Casablanca,MA,33.583333333333336,-7.6,1,1
BRPNG,Paranaguá,BR,-25.5,-48.516666666666666,1,1
SEGVX,Gävle,SE,60.666666666666664,17.166666666666668,1,1
FRPJE,Port-Jérôme,FR,49.46666666666667,0.5333333333333333,1,1
